MGI ID	MGI Symbol	UniProt
MGI:1932075	Agpat1	O35083
MGI:1347059	Decr2	Q3TR93
MGI:1919161	Bdh1	A1E283
MGI:1355330	Phgdh	Q3TEE5
MGI:108092	Bin1	O08539
MGI:1890651	Brwd1	Q3UMZ7
MGI:1932407	Brunol4	Q7TSY6
MGI:1921257	Btbd11	Q6GQW0
NOT_FOUND	Cadps	Q80TJ1
MGI:107436	Cdh10	P70408
MGI:99217	Cdh11	P55288
MGI:106672	Cdh15	P33146
