MGI Symbol	MGI ID
Lpaat-alpha	NOT_FOUND
Phgdh	MGI:1355330
Agpat4	MGI:1915512
Agpat7	NOT_FOUND
Cnp	MGI:88437
Cnp	MGI:88437
Decr2	MGI:1347059
Bdh1	MGI:1919161
Ywhag	MGI:108109
Oxct1	MGI:1914291
Phgdh	MGI:1355330
Pdpk1	MGI:1338068
Nipsnap1	MGI:1278344
Agpat5	MGI:1196345
Agpat3	MGI:1336186
Agpat3	MGI:1336186
Decr1	MGI:1914710
